headline,date,sentiment,score
"Market Wrap: Sensex falls 479 points, Nifty below 23,950 as bank stocks falter; small, midcaps shine",2026-05-26,negative,0.9655585885047913
"Union Bank's board clears plans to raise up to Rs 8,000 crore via equity and debt",2026-05-26,neutral,0.5258365869522095
ET Alpha Wealth Summit: Future-proofing portfolios for the next decade,2026-05-26,neutral,0.825316309928894
"Bernstein says Aadhar Housing, Home First, other housing stocks can rally up to 34%. Here are 3 reasons why",2026-05-26,neutral,0.7742260694503784
SEBI unveils Pilot DLT tokenisation project as risk evaluation process continues,2026-05-26,neutral,0.8524852395057678
MobiKwik shares surge 8% after the company gets RBI nod for payment aggregator license,2026-05-26,positive,0.9397983551025391
​U-Turn! MFs pull back from 12 smallcap stocks after two quarters of buying,2026-05-26,negative,0.9687192440032959
Can Suzlon Energy shares rally up to 31% after Q4 results? Top brokerages weigh in,2026-05-26,positive,0.9182668328285217
"First Taiwan, then South Korea? How global AI supercycle is demoting Indian stock market",2026-05-26,neutral,0.882117748260498
HFCL shares rally 22% in just 5 sessions. Here’s what technical charts indicate,2026-05-26,neutral,0.8951137065887451
Campus Activewear shares jump 7% after strong Q4 show; PAT surges 26% YoY,2026-05-26,positive,0.9407861232757568
Sri Lanka jolts markets with outsized 100-bp rate hike to counter Gulf crisis,2026-05-26,positive,0.602179229259491
Awfis Space Solutions shares surge 9% after Q4 profit jumps 107% YoY,2026-05-26,positive,0.9324158430099487
Jefferies raises target price of auto ancillary stock that's venturing into aerospace,2026-05-26,positive,0.5866494178771973
Pine Labs shares rise over 4% after Q4 results. Why Morgan Stanley forecasts 67% upside,2026-05-26,positive,0.5516582131385803
"Suzlon Energy shares rise after Q4 results. What are Motilal Oswal, Nuvama saying?",2026-05-26,neutral,0.8566555976867676
"Sensex slips 250 pts, Nifty at 24,000 as US strike on Iran dent sentiment; mid, smallcaps outperform",2026-05-26,negative,0.9166120290756226
MTAR Tech vs Apollo Micro Systems: Which multibagger defence stock to buy after 395% rally in 1 year,2026-05-26,positive,0.914599597454071
"As doomsday predictions become routine, India's forgotten smallcaps dole out 7 multibaggers in just 60 days",2026-05-26,neutral,0.6304359436035156
"Buy, Sell or Hold: Morgan Stanley maintains Equal-Weight on Pine Labs; retains buy on ONGC",2026-05-26,neutral,0.87144535779953
"Premier Energies shares gain 4% after Nomura, Quant, others purchase stake in Rs 2,289 crore bulk deal",2026-05-26,positive,0.8037822246551514
"HDFC Bank, SBI among 10 stocks that saw highest selling by LIC in Q4. Do you own any?​",2026-05-26,neutral,0.9244120121002197
Pine Labs among 6 stocks closed crossing above VWAP,2026-05-26,neutral,0.44809016585350037
RVNL shares fall 3% as Q4 net profit tumbles 43%; revenue rises just 5%,2026-05-26,negative,0.9709129333496094
"Adani Power among 5 stocks flashing bullish signals, hinting at a possible uptrend",2026-05-26,positive,0.7571391463279724
"After stellar Q4, is a downgrade nightmare looming for India Inc in Q1?",2026-05-26,negative,0.7744892835617065
"Stocks to buy in 2026 for long term: NTPC, Hindalco among 5 stocks that could give 10-20% return",2026-05-26,neutral,0.8018375635147095
LIC 1:1 bonus share explained: What 21 lakh shareholders need to know before buying on record date,2026-05-26,neutral,0.9469101428985596
ITC dividend alert! Last date to buy FMCG major’s shares for Rs 8 dividend. Do you own?,2026-05-26,neutral,0.940057635307312
LIC 1:1 bonus bonanza: Is today the last day to buy shares for free rewards?,2026-05-27,neutral,0.8802245855331421
"Dividend alert! Last date to buy Bajaj Auto, GSK Pharma and 10 other stocks for solid payouts. Details here",2026-05-27,neutral,0.7095836997032166
Teamtech Formwork shares list at 19.5% premium on NSE SME platform,2026-05-26,neutral,0.8435398936271667
Positive Breakout: These 11 stocks cross above their 200 DMAs,2026-05-26,positive,0.9268779754638672
Dalal Street set for negative opening as GIFT Nifty trades lower,2026-05-26,negative,0.9478452801704407
